prompt,expected_response,model,response
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Produk mereka jauh lebih mahal dibandingkan dengan petsmart!
Kalimat Baru: ",Produk mereka jauh lebih murah dibandingkan dengan petsmart!,fine-tuned,Produk mereka lebih murah dibandingkan dengan petsmart!
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Produk mereka jauh lebih murah dibandingkan dengan petsmart!
Kalimat Baru: ",Produk mereka jauh lebih mahal dibandingkan dengan petsmart!,fine-tuned,Produk mereka jauh lebih mahal dibandingkan dengan petsmart.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Berapa biaya yang akan anda kenakan saat saya membeli satu lusin roti bagel?
Kalimat Baru: ",Berapa biaya yang akan anda kenakan saat saya membeli satu lusin roti bagel yang enak?,fine-tuned,Bagaimana biaya yang akan anda bayar?
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Berapa biaya yang akan anda kenakan saat saya membeli satu lusin roti bagel yang enak?
Kalimat Baru: ",Berapa biaya yang akan anda kenakan saat saya membeli satu lusin roti bagel?,fine-tuned,Bagaimana biaya yang akan anda bayar untuk satu lusin bagel?
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Makanannya tidak bagus dan harganya jauh lebih buruk.
Kalimat Baru: ",Ya makanannya enak dan harganya juga sangat baik.,fine-tuned,Makanannya enak dan harganya bagus.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Ya makanannya enak dan harganya juga sangat baik.
Kalimat Baru: ",Makanannya tidak bagus dan harganya jauh lebih buruk.,fine-tuned,Makanannya tidak terlalu enak dan harganya terlalu mahal.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya hanya memberikan item ini num_num bintang karena harganya yang tidak masuk akal.
Kalimat Baru: ",saya memberikan item ini bintang lima karena harganya yang luar biasa.,fine-tuned,saya hanya memberikan lima bintang karena harganya yang sangat buruk.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya memberikan item ini bintang lima karena harganya yang luar biasa.
Kalimat Baru: ",saya hanya memberikan item ini num_num bintang karena harganya yang tidak masuk akal.,fine-tuned,saya memberikan item ini lima bintang karena harganya yang luar biasa.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Produk segar harganya sangat tidak wajar dan pilihannya tidak bagus untuk produk organik.
Kalimat Baru: ",Produk segar harganya sangat wajar dan pilihannya sangat bagus untuk produk organik.,fine-tuned,Harga yang wajar dan mereka memiliki banyak pilihan untuk produk organik.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Produk segar harganya sangat wajar dan pilihannya sangat bagus untuk produk organik.
Kalimat Baru: ",Produk segar harganya sangat tidak wajar dan pilihannya tidak bagus untuk produk organik.,fine-tuned,Harga yang wajar dan produk yang sangat baik.
