original_positive,original_negative,positive_sentiment,negative_sentiment,back_translate_positive,back_translate_negative
washing it is a breeze and just takes a second .,washing is a pain and takes several hours.,mencucinya sangat mudah dan hanya membutuhkan waktu sedetik.,mencuci itu merepotkan dan memakan waktu beberapa jam.,Washing it is very easy and only takes a second.,washing is a hassle and takes several hours.
this is definitely not the case with the num_extend,this is definitely a terrible case.,ini jelas tidak terjadi dengan num_extend,ini jelas merupakan kasus yang buruk.,this is definitely not the case with num_extend,this is definitely a bad case.
item arrived in num_num days in bulk packaging exactly like j .,Items arrived ten days late in bulk packaging exactly like J.,barang tiba dalam num_num hari dalam kemasan massal persis seperti j.,Barang tiba terlambat sepuluh hari dalam kemasan massal persis seperti J.,item arrived within num_num days in bulk packaging exactly as j.,Item arrived ten days late in bulk packaging exactly like J.
i bought three of these units to place in our home .,I bought three of these units and can't place them in our home.,saya membeli tiga unit ini untuk ditempatkan di rumah kami.,Saya membeli tiga unit ini dan tidak dapat menempatkannya di rumah kami.,I purchased three of these units to place in our home.,I bought three of these units and can't fit them in our house.
i liked this and was happy with my purchase .,I didn't like this and was unhappy with my purchase.,saya menyukai ini dan senang dengan pembelian saya.,Saya tidak menyukai ini dan tidak senang dengan pembelian saya.,I love this and am happy with my purchase.,I don't like this and am not happy with my purchase.
went looking for them and you had them .,went looking for them and couldn't find them .,pergi mencarinya dan kamu mendapatkannya.,pergi mencari mereka dan tidak dapat menemukannya.,go looking for it and you get it.,went looking for them and couldn't find them.
with medium usage its closer to about num_num hours .,with low usage its closer to only 1 hour .,"dengan penggunaan sedang, ini mendekati sekitar num_num hour.",dengan penggunaan rendah hampir hanya 1 jam.,"with moderate use, this is closer to around num_num hours.",with low usage of almost only 1 hour.
i don t want the bulk of an otterbox defender .,I don't want the burdensome bulk of an otterbox defender.,saya tidak ingin sebagian besar bek berang-berang.,Saya tidak ingin menjadi bek berang-berang yang membebani.,I don't want most of the Beaver defenders.,I don't want to be a burdensome Beaver defender.
i made beef bolognese in the oven and it turned out wonderfully .,i made beef bolognese in the oven and it turned out horribly.,saya membuat bolognese daging sapi di oven dan hasilnya luar biasa.,saya membuat bolognese daging sapi di oven dan hasilnya sangat buruk.,i made beef bolognese in the oven and it came out amazing.,i made beef bolognese in the oven and it came out really bad.
"once glitch ,  which i did not view as all that negative .","once glitch , which i did not view as all that positive .","sekali kesalahan, yang menurut saya tidak terlalu negatif.","sekali kesalahan, yang menurut saya tidak terlalu positif.","once a mistake, which I don't think is too negative.","once a mistake, which I don't think is very positive."
