x,y0,y1,y2,y3
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya belum pernah menemukan kegunaannya.
Kalimat Baru: ",Saya telah menemukan banyak kegunaannya.,Saya tidak pernah menemukan alasan mengapa saya menyukai tempat ini.,Saya telah menemukan beberapa kegunaannya.,Saya telah menemukan banyak kegunaannya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: ini berguna dengan momen dan perayaan spesial yang lembut.
Kalimat Baru: ",ini tidak berguna dengan momen atau perayaan spesial.,ini tidak berguna dengan momen atau perayaan spesial.,ini tidak berguna dengan momen dan pesta yang ramai.,ini tidak berguna dengan momen dan perayaan spesial yang keras.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Satu-satunya yang bisa dimakan adalah broccoli beef yang lembek!
Kalimat Baru: ",Satu-satunya hal yang saya akan memesan kembali adalah broccoli beef yang enak.,Satu-satunya yang bisa saya makan adalah broccol beef yang enak!,Satu-satunya hal yang bisa diprakterkan adalah broccoli beef yang segar!,Satu-satunya yang akan saya makan adalah broccol beef yang enak!
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Makanan lain yang bisa saya makan adalah broccoli beef yang luar biasa!
Kalimat Baru: ",Makanan lain yang bisa saya makan adalah broccoli beefnya.,Makanan lain yang saya coba adalah broccoli beef.,Makanan lain yang bisa saya makan adalah broccoli beef yang sangat buruk!,Makanan lain yang saya coba adalah broccoli beef.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pekerjaan buruk pada warna dan potongan rambut saya.
Kalimat Baru: ",Pekerjaan yang bagus pada warna dan potongan rambut saya!,Pekerjaan yang bagus pada warna dan potongan rambut saya.,Pekerjaan yang bagus pada warna dan potongan rambut saya.,Pekerjaan bagus pada warna dan potongan rambut saya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Dia melakukan pekerjaan yang luar biasa pada warna dan potongan rambut saya!
Kalimat Baru: ",Dia melakukan pekerjaan yang buruk pada warna dan potongan rambut saya!,Dia melakukan pekerjaan yang fantastis pada warna dan potongan rambut saya!,Tidak melakukan pekerjaan yang baik pada warna dan potong rambut saya.,Dia melakukan pekerjaan yang buruk pada warna dan potongan rambut saya!
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tempat yang berisik untuk menonton game di tv dan mencoba berinteraksi dengan orang-orang.
Kalimat Baru: ",Tempat yang bagus untuk menonton game di tv dan mencoba berinteraksi dengan orang-orang yang baik.,Tempat yang tenang dan tenang untuk menonton game di tv.,Tempat yang tenang dan tenang untuk menonton game di tv.,Tempat yang tenang dan tenang untuk menonton game di tv.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tempat yang menyenangkan untuk menonton game di tv dan berinteraksi dengan orang-orang.
Kalimat Baru: ","Tempat yang buruk untuk menonton pertandingan, terutama jika kamu lebih memilih untuk tidak berinteraksi dengan orang.",Tempat yang buruk untuk menonton game di tv dan berinteraksi dengan orang-orang.,Tempat yang buruk untuk menonton game di tv dan berinteraksi dengan orang-orang.,Tempat yang buruk untuk menonton game di tv.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Kami menghindari untuk mengembalikan truk sewa di sini dua minggu yang lalu.
Kalimat Baru: ",Kami bahkan mungkin menyewa truk dari lokasi ini di waktu mendatang.,Kami akan mengembalikan truk kami ke perusahaan sewa yang lain.,Saya akan kembali ke sini untuk truk sewa.,Kami pergi dengan keluarga kami dan pulang dengan sangat senang.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Kami mengembalikan truk sewa kami di lokasi ini dua minggu yang lalu.
Kalimat Baru: ",Kami mengembalikan truk kami di lokasi ini dua minggu yang lalu.,Kami mengembalikan truk sewa kami ke lokasi ini dua minggu yang lalu.,Kami mengembalikan truk sewa kami ke lokasi ini dua minggu yang lalu.,Kami mengembalikan truk kami yang disewakan di lokasi ini dua minggu yang lalu.
