query,response,score
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Bukan tempat yang akan saya rekomendasikan.
Kalimat Baru: ",Tempat yang harus dinamai jika kamu ada di dekat Scottsdale Road.,-10.7265625
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Bukan tempat yang akan saya rekomendasikan.
Kalimat Baru: ",Maksud saya itu adalah tempat seperti itu.,-7.9765625
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Bukan tempat yang akan saya rekomendasikan.
Kalimat Baru: ",Tempat yang bagus untuk mencari perlengkapannya.,-10.8203125
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tentunya tempat yang perlu diingat.
Kalimat Baru: ",Tentu saja tempat yang sangat bagus untuk diingat.,-10.8984375
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tentunya tempat yang perlu diingat.
Kalimat Baru: ",Tempat yang buruk untuk mencari tas.,-10.4609375
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tentunya tempat yang perlu diingat.
Kalimat Baru: ",Ini bukan tempat yang biasa saya kunjungi.,-10.8828125
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Bagaimanapun saya tidak akan merekomendasikan belanja dari camping world.
Kalimat Baru: ","Meskipun saya tidak akan merekomendasikan belanja di camping world, mereka memiliki beberapa penawaran yang bagus.",-10.6015625
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Bagaimanapun saya tidak akan merekomendasikan belanja dari camping world.
Kalimat Baru: ","Jika saya akan membeli dari camping world, saya akan membeli disini.",-10.8828125
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Bagaimanapun saya tidak akan merekomendasikan belanja dari camping world.
Kalimat Baru: ",Saya tidak akan merekomendasikan belanja disini.,10.1953125
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Bagaimanapun saya merekomendasikan belanja dari camping world.
Kalimat Baru: ",Sungguh luar biasa belanja disini.,-10.90625
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Bagaimanapun saya merekomendasikan belanja dari camping world.
Kalimat Baru: ",Semuanya sangat buruk.,-10.6484375
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Bagaimanapun saya merekomendasikan belanja dari camping world.
Kalimat Baru: ",Sungguh tidak komit dengan camping world.,-10.8125
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: California burrito adalah burrito yang buruk.
Kalimat Baru: ",California burrito adalah burrito yang luar biasa.,-6.33203125
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: California burrito adalah burrito yang buruk.
Kalimat Baru: ",California burrito adalah burrito yang paling enak.,0.74658203125
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: California burrito adalah burrito yang buruk.
Kalimat Baru: ",California burrito adalah burrito yang terbaik.,-6.6328125
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: California burrito juga burrito yang enak.
Kalimat Baru: ",California burrito juga burrito yang menjijikan.,10.9375
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: California burrito juga burrito yang enak.
Kalimat Baru: ",California burrito juga burrito yang buruk.,11.328125
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: California burrito juga burrito yang enak.
Kalimat Baru: ",California burrito adalah burrito yang terburuk yang pernah saya makan.,3.841796875
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Prime rib berlemak dan tidak dimasak sesuai dengan permintaan.
Kalimat Baru: ",Saya memesan prime rib dan itu dimasak dengan sempurna!,10.1875
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Prime rib berlemak dan tidak dimasak sesuai dengan permintaan.
Kalimat Baru: ",Prime ribnya dimasak dengan sempurna dan sangat berbumbu.,-0.44384765625
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Prime rib berlemak dan tidak dimasak sesuai dengan permintaan.
Kalimat Baru: ","Prime ribnya enak, dimasak dengan sempurna dan cepat!",-9.0078125
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Prime rib tidak berlemak dan dimasak sesuai dengan pesanan.
Kalimat Baru: ",Prime ribnya berlemak dan kering.,7.234375
