prompt,expected_response,model,response
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Produk mereka jauh lebih mahal dibandingkan dengan petsmart!
Kalimat Baru: ",Produk mereka jauh lebih murah dibandingkan dengan petsmart!,base,Produk mereka lebih murah daripada petsmart!
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Produk mereka jauh lebih murah dibandingkan dengan petsmart!
Kalimat Baru: ",Produk mereka jauh lebih mahal dibandingkan dengan petsmart!,base,Produk mereka lebih mahal dibandingkan dengan petsmart!
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Berapa biaya yang akan anda kenakan saat saya membeli satu lusin roti bagel?
Kalimat Baru: ",Berapa biaya yang akan anda kenakan saat saya membeli satu lusin roti bagel yang enak?,base,Saya akan membayar 10000000000000000000000000
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Berapa biaya yang akan anda kenakan saat saya membeli satu lusin roti bagel yang enak?
Kalimat Baru: ",Berapa biaya yang akan anda kenakan saat saya membeli satu lusin roti bagel?,base,Saya akan membayar 10000000000000000000000000
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Makanannya tidak bagus dan harganya jauh lebih buruk.
Kalimat Baru: ",Ya makanannya enak dan harganya juga sangat baik.,base,Negatif
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Ya makanannya enak dan harganya juga sangat baik.
Kalimat Baru: ",Makanannya tidak bagus dan harganya jauh lebih buruk.,base,Positif
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya hanya memberikan item ini num_num bintang karena harganya yang tidak masuk akal.
Kalimat Baru: ",saya memberikan item ini bintang lima karena harganya yang luar biasa.,base,Negatif
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya memberikan item ini bintang lima karena harganya yang luar biasa.
Kalimat Baru: ",saya hanya memberikan item ini num_num bintang karena harganya yang tidak masuk akal.,base,Saya memberi bintang lima karena harganya yang luar biasa.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Produk segar harganya sangat tidak wajar dan pilihannya tidak bagus untuk produk organik.
Kalimat Baru: ",Produk segar harganya sangat wajar dan pilihannya sangat bagus untuk produk organik.,base,Produk segar harganya tidak wajar dan pilihannya tidak bagus untuk produk organik.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Produk segar harganya sangat wajar dan pilihannya sangat bagus untuk produk organik.
Kalimat Baru: ",Produk segar harganya sangat tidak wajar dan pilihannya tidak bagus untuk produk organik.,base,Positif
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Layanan pelanggan di sana buruk.
Kalimat Baru: ",Layanan pelanggan di sana bagus.,base,Layanan pelanggan di sana bagus.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Layanan pelanggan di sana bagus.
Kalimat Baru: ",Layanan pelanggan di sana buruk.,base,Layanan pelanggan di sana buruk.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: margin keamanannya sangat buruk karena meluap
Kalimat Baru: ",jelas batas keamanan dari luapan jauh lebih kecil.,base,Margin keamanannya sangat baik karena tidak meluap
