positive_sentiment,negative_sentiment
"Semenjak joes berganti kepemilikan, kondisinya semakin membaik.","Semenjak Joes berganti kepemilikan, kondisinya semakin memburuk."
Ada begitu banyak ruang di bagian lokasi itu.,Pasti tidak cukup ruang di bagian lokasi itu.
Itu tidak terasa  encer sama sekali.,Jadi terasa encer.
Dia berkata bahwa Dia akan kembali dan tidak akan menghilang.,Dia berkata bahwa Dia akan kembali dan menghilang selama beberapa menit.
Apotek ini sangat perhatian.,Saya tidak percaya betapa tidak perhatiannya apotek ini.
baru saja pergi dan tambahkan ke tagihan.,baru saja pergi dan hapus dari tagihan.
Itu tidak sempurna tetapi itu sangat bagus.,Itu tidak buruk tetapi tidak bagus juga.
Pasti tidak mengecewakan karena saya bisa menggunakan haDiah ulang tahun saya.,Sangat mengecewakan karena saya tidak bisa menggunakan haDiah ulang tahun saya.
"Pemilik baru yang hebat, saya dengar tetapi saya tidak tau detailnya.","Pemilik baru, saya dengar tetapi tidak tau detailnya"
Tetapi itu mungkin tidak buruk juga!,Tetapi itu mungkin sangat buruk juga!
Pelayanannya cepat dan responsif.,Kami duduk dan kami mendapatkan pelayanan yang sangat lambat dan malas.
Harganya termasuk sup miso dan sebuah salad yang enak.,Biayanya termasuk sup miso dan sebuah salad kecil.
Mereka bertanya bagaimana keadaannya.,Tidak ada perkatakan maaf atau bagaimana hasilnya.
Mereka berkata kita bisa duduk di meja tanpa ragu-ragu.,Dikatakan mereka tidak bisa duduk di meja jika mereka tidak memesan makan malam.
Bagian depan toko dijaga dengan baik.,Area mesin kasir kosong dan tidak ada orang yang menjaga depan toko.
Keripiknya oke tetapi salsanya sangat enak.,Keripiknya oke tetapi salsanya sangat hambar.
Wine lebih baik dari anggur lainnya dan makanan jauh lebih enak.,Wine sangat biasa saja dan makanannya lebih buruk.
Dikelola oleh remaja yang paham tentang layanan pelanggan.,Dikelola oleh remaja yang tidak memahami layanan pelanggan.
Burger dimasak dengan sempurna dan daging masih lembut dan mengandung banyak jus.,Burger dimasak terlalu matang hingga daging terasa garing.
Saus blue cheese lebih baik dari yang biasa.,Saus blue cheese bukanlah saus yang terbaik.
Pad Thai-nya terasa seperti yang terbaik yang pernah saya makan dalam waktu yang lama.,Pad thai saya terasa seperti thai rice noodle dengan saus barbeku.
Dia berkata Dia senang bisa membantu.,"Dia berkata ""ya, maaf""."
"Manajemennya luar biasa, tempatnya terlihat bagus.",Toko ini terlihat kumuh dan manajemennya perlu diubah.
Ada berbagai jenis daging-dagingan dan roti-rotian.,Hanya ada daging dan roti.
"Ketika saya mengeluh, mereka menangani masalah tersebut.","Ketika saya mengeluh dengan sopan, saya diusir keluar."
Dia sepertinya bahagia berada disana.,Dia tidak bahagia berada disana.
"Di samping bentuknya, mereka empuk dan enak.","Mengabaikan bentuknya, mereka kering dan benar-benar tidak berasa."
Program asosiasi masih menjadi pilihan.,Program asosiasi tidak lagi menjadi pilihan.
Dekorasinya bagus.,Dekorasi sangat kurang.
Kami mendapatkan kopi dan kami berpikir akan kembali kesini.,"Bagaimanapun juga, kami mendapatkan kopi kami dan tidak akan kembali ke lokasi ini."
Tim penjualan  sangat hebat.,Tim penjualan disini sangat buruk.
Salsa masih panas dan enak.,Salsa tidak panas atau enak.
Saya mungkin akan mempertimbangkan untuk meminta pengembalian uang ke kartu.,Jadi saya meminta pengembalian uang ke kartu.
"Saya menerima pesanan pengiriman dari mereka, dan jelas tidak sia-sia uangnya.",Saya baru saja menerima pesanan pengiriman dari mereka dan pada dasarnya uang saya terbuang percuma.
Saya akan menyuruh Dia melakukan hal untuk saya ke depannya.,Saya tidak akan menyuruh Dia untuk melakukan sesuatu untuk saya.
Mereka sangat terbuka dan memberitahu saya segalanya.,Semua yang Dia lakukan hanya berputar-putar dan berbohong serta beralasan tentang segala hal.
Banyak kacang di burro dan nasi sangat melimpah.,Kacang di burro dan nasi tidak bisa ditemukan.
Mereka sangat adil dan menghormati saya walaupun saya masih muda.,Mereka mencoba mengambil keuntungan dari saya karena saya masih muda.
Kami mengirim banyak orang kesana dan mereka memuji restorannya.,Kami telah mengirim cukup banyak tamu ke sana yang kembali sangat marah dengan restoran ini.
"Layanan pelanggan yang sangat baik, mereka mendengarkan keluhan siapa saja dan membantu mereka tentang hal itu.",Selalu kasar nada bicaranya dan selalu memiliki layanan pelanggan yang buruk!
Mereka tidak perlu memperbaiki layanan pelanggannya dan perilaku secara umum.,Mereka perlu memperbaiki layanan pelanggannya dan perilaku secara umum.
Saya melanjutkan makan dan kemuDian kami kembali ke bir.,Saya melewati makan dan kami kembali ke bir.
"Sup ""hot"" saya masih panas dan dagingnya empuk.","Sup ""hot"" saya dingin dan dagingnya berair."
Ketika saya pertama kali datang ke phx.. ya bagi saya ini terdengar seperti american.,Ketika saya pertama kali datang ke phx.. ya bagi saya ini terdengar seperti inDian.
Kamu tidak akan menemukan pilihan yang lebih baik di arizona.,Kamu tidak akan menemukan pilihan yang lebih baik di scottsdale.
Saya meminta thai hot dan mendapatkan rempah yang melimpah.,saya meminta thai hot dan mendapatkan rempah yang sangat sedikit.
Saya baik-baik saja pada malam berikutnya.,Saya sangat sakit pada malam berikutnya.
"Saya pergi dengan perasaan kenyang dan puas, akan datang lagi.","Saya pergi dengan perasaan lapar dan tidak puas, tidak akan lagi."
Saya baru saja meninggalkan pencucian mobil ini dan sangat puas!,Saya baru saja meninggalkan pencucian mobil ini dan sangat tidak puas!
"Satu makanan yang luar biasa dan berkata, ""kami akan coba lagi"".","Satu makanan yang biasa dan berkata, "" kami akan coba lagi"""
"Makananya baik, dan pelayanannya salah satu yang terbaik dari semua yang pernah saya temui.","Makanannya oke, pelayanannya teruruk dari semua yang pernah saya temui."
Saya mencari gaun pengantin dan ini adalah perhentian pertama saya.,Ini adalah pemberhentian pertama saya dalam mencari gaun pengantin.
Dia memberitahu saya dengan baik cara memperbaikinya.,KemuDian Dia melanjutkan untuk memberi tahu saya cara memperbaikinya.
"Pergi ke tempat ini, mereka sangat baik!","Jangan pergi ke praktik ini, mereka sangat buruk!"
Dia bahagia karena kami menanyakan harga.,Saya rasa Dia tidak bahagia karena kami menanyakan harga.
Salah satu penyelamat adalah kacang hitam.,Satu-satunya penyelamat adalah kacang hitam.
Mendapatkan pelanggan yang sudah lama!,Kehilangan pelanggan lama!
"Selain itu, makanan disini sangat enak.","Selain itu, makanan disini sangat menjijikan."
Saya juga penasaran tentang produk lain dan Dia langsung memberi tahu saya semua hal tentang itu.,Saya juga penasaran tentang produk lain tetapi Dia langsung pergi.
Sejauh ini saya sangat terpukau.,Sejauh ini saya tidak terlalu terpukau.
Groupon saya terseDia untuk banyak jendela.,Groupon saya hanya untuk dua jendela.
Safeway telah mendapatkan bisnis saya.,"Safeway telah resmi kehilangan bisnis saya ke Sprouts, & Fresh & Easy"
"Makanannya enak, saya akan kesana lagi.","Makanannya tidak enak, saya tidak akan kesana lagi."
Saya akan menggunakan tempat ini lagi.,Kami tidak akan menggunakan lokasi ini lagi.
Ini adalah tempat yang bagus.,Ini adalah tempat yang buruk.
Kamu akan menginginkan lebih bayak setelah satu gigitan.,Kamu tidak akan berselera setelah satu gigitan.
"Datang kesini, makanannya sangat enak!",Jangan kesini kecuali kamu mau membayar untuk barang yang buruk.
Semuanya selalu ada di stok di sini.,Tapi barangnya mungkin tidak benar-benar ada di stok juga
Pemilik adalah orang yang sangat ramah.,Pemilik adalah lelaki yang sangat kasar.
Tempat ini adalah tempat yang baik untuk ditinggali.,Tempat ini adalah tempat yang buruk untuk ditinggali.
"Setelah toko hib, saya mampir untuk minuman soda dan menikmatinya.",Mampir untuk minuman soda setelah berada di toko hobi di sebelahnya.
Masakan saya memiliki tingkat asin yang cukup dan kepiting bawang putihnya enak.,Masakan saya cukup asin dan hampir tidak bisa merasakan kepiting bawang putihnya.
Daging ayam yang dicampur itu dibuat sesuai yang saya inginkan.,Iu terlihat seperti daging ayam yang dicampur lalu dibentuk seperti potongan ayam panggang.
