prompt,expected_response,model,response
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya belum pernah menemukan kegunaannya.
Kalimat Baru: ",ini berguna dengan momen dan perayaan spesial yang lembut.,fine-tuned,Saya telah menemukan banyak kegunaannya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: ini berguna dengan momen dan perayaan spesial yang lembut.
Kalimat Baru: ",Saya belum pernah menemukan kegunaannya.,fine-tuned,ini tidak berguna dengan momen dan perayaan spesial yang keras.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Satu-satunya yang bisa dimakan adalah broccoli beef yang lembek!
Kalimat Baru: ",Makanan lain yang bisa saya makan adalah broccoli beef yang luar biasa!,fine-tuned,Satu-satunya hal yang saya suka adalah broccoli beefnya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Makanan lain yang bisa saya makan adalah broccoli beef yang luar biasa!
Kalimat Baru: ",Satu-satunya yang bisa dimakan adalah broccoli beef yang lembek!,fine-tuned,Makanan lain yang bisa saya makan adalah broccoli beef yang buruk!
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Pekerjaan buruk pada warna dan potongan rambut saya.
Kalimat Baru: ",Dia melakukan pekerjaan yang luar biasa pada warna dan potongan rambut saya!,fine-tuned,Pekerjaan bagus pada warna dan potongan rambut saya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Dia melakukan pekerjaan yang luar biasa pada warna dan potongan rambut saya!
Kalimat Baru: ",Pekerjaan buruk pada warna dan potongan rambut saya.,fine-tuned,Dia melakukan pekerjaan yang buruk pada warna dan potongan rambut saya!
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tempat yang berisik untuk menonton game di tv dan mencoba berinteraksi dengan orang-orang.
Kalimat Baru: ",Tempat yang menyenangkan untuk menonton game di tv dan berinteraksi dengan orang-orang.,fine-tuned,Tempat yang tenang untuk menonton game di tv dan mencoba berinteraksi dengan orang-orang.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tempat yang menyenangkan untuk menonton game di tv dan berinteraksi dengan orang-orang.
Kalimat Baru: ",Tempat yang berisik untuk menonton game di tv dan mencoba berinteraksi dengan orang-orang.,fine-tuned,Tempat yang buruk untuk menonton game di tv dan berinteraksi dengan orang-orang.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Kami menghindari untuk mengembalikan truk sewa di sini dua minggu yang lalu.
Kalimat Baru: ",Kami mengembalikan truk sewa kami di lokasi ini dua minggu yang lalu.,fine-tuned,Kami akan kembali ke sini dua minggu dari sekarang.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Kami mengembalikan truk sewa kami di lokasi ini dua minggu yang lalu.
Kalimat Baru: ",Kami menghindari untuk mengembalikan truk sewa di sini dua minggu yang lalu.,fine-tuned,Kami mengembalikan truk kami di lokasi ini dua minggu yang lalu.
