x,y0,y1,y2,y3,b
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: tidak membaca ulasan apa pun
Kalimat Baru: ",saya membaca banyak ulasan tentang produk ini.,membuat mozzarella yang enak dan enak,Saya membaca banyak ulasan tentang tempat ini.,saya membaca beberapa ulasan tentang tempat ini.,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: mereka datang tanpa instruksi untuk ditemukan dan tidak banyak lagi yang bisa dikatakan
Kalimat Baru: ","mereka datang dengan instruksi, dan mereka sangat membantu.","mereka datang dengan instruksi, yang kami ikuti.",mereka datang dengan instruksi dan masih banyak lagi yang bisa dikatakan.,mereka datang dengan instruksi dan sangat mudah untuk ditemukan.,2
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya tidak akan pernah menyarankan ini pada iPhone hitam.
Kalimat Baru: ",saya akan menyarankan pada iPhone hitam,saya akan merekomendasikan pada iPhone hitam.,saya akan menyarankan ini pada iPhone hitam.,saya akan menyarankan ini pada iPhone hitam.,2
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya tidak akan menyarankan ini pada iPhone hitam.
Kalimat Baru: ",saya akan merekomendasikan pada iPhone hitam.,saya akan merekomendasikan ini pada iPhone hitam.,saya akan merekomendasikan ini pada ponsel hitam.,saya akan merekomendasikan ini pada ponsel layar biru!,1
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: sejujurnya ini satu-satunya kasus yang saya buang ke tempat sampah.
Kalimat Baru: ",sejujurnya itu satu-satunya kasus yang saya sukai.,sejuk hati ini merupakan salah satu dari beberapa kasus di mana saya ingin membuang semuanya ke tempat sampah.,"sejujurnya, saya tidak mau hidup tanpanya.",sejujurnya saya belum pernah mengalami kesediaan berbeda untuk memercikkan tanganku.,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: sejujurnya ini satu-satunya kasus yang saya simpan begitu lama.
Kalimat Baru: ",sejujurnya saya tidak suka sekali pakai saja.,sejujurnya itu satu-satunya kasus yang saya buang secara langsung.,sejujurnya saya tidak pernah menyimpannya.,sejujurnya saya tidak menyimpan satu pun dari jenis ini.,1
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: jadi saya membeli produk ini dengan harapan dapat membantu mengatur siklus saya.
Kalimat Baru: ",jadi saya membeli produk yang tidak bekerja dengan baik untuk saya,Saya membeli produk ini untuk membantu saya mengatur siklus saya.,jadi saya membeli produk yang tidak membantu apa pun dan tidak melakukan apa pun.,jadi saya membeli produk yang tidak tepat untuk saya dan tidak membantu saya mengelola siklus saya.,3
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: jadi saya membeli produk ini dan itu membantu saya mengatur siklus saya.
Kalimat Baru: ",jadi aku membeli yang lain.,saya membeli produk ini dan itu tidak berhasil untuk saya,"jadi, saya membeli produk ini dan tidak membantu saya mengatur siklus saya.",jadi saya membeli produk ini dan itu tidak membantu saya mengatur siklus saya.,2
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: tempatnya cepat dan akulah satu-satunya
Kalimat Baru: ",tempat ini sangat lambat dan penuh.,tempat ini sangat lambat dan layanannya tidak terlalu bagus.,saya harus duduk dan duduk karena terlalu kecil.,tempat ini jauh lebih cepat daripada tanpa nama!,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: bahan pembuatnya mengusir kotoran.
Kalimat Baru: ",bahan pembuatnya sangat alami dan tidak mengusir kotoran.,bahan pembuatnya lembut dan nggak mengusir kotoran.,bahan pembuatnya tidak mengusir kotoran,bahan pembuatannya sangat alami.,2
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: sayangnya saya tidak yakin untuk apa semua ulasan bintang lima itu.
Kalimat Baru: ",saya yakin untuk apa semua ulasan bintang lima itu. ,"trilyen, saya percaya ulasan mana pun tentang tempat ini yang bagus.","bukan hal yang terbaik untuk semua ulasan bintang lima, tapi pasti salah satu yang terbaik.","bukan ulasan bintang lima, tapi juga bukan ulasan terburuk yang pernah saya baca.",0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya yakin untuk apa semua ulasan bintang lima itu.
Kalimat Baru: ",sayangnya saya tidak yakin untuk apa semua ulasan bintang lima itu. ,"saya yakin untuk apa-apa, ia melakukan pekerjaan dengan baik","saya yakin untuk beberapa ulasan lebih jauh, bintang lima akan ikut hadir",Saya yakin itu untuk apa yang diklaim.,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: itu mengisi daya ponsel saya dengan sangat lambat dan baterainya % tidak lengkap.
Kalimat Baru: ",itu mengisi daya ponsel saya dengan cepat dan baterainya hampir penuh.,itu mengisi daya ponsel saya dengan sangat baik dan baterainya membengkak secara perlahan.,itu mengisi daya ponsel saya dengan sangat cepat dan baterainya mencapai persentase penuh.,itu mengisi daya ponsel saya dengan sangat cepat dan baterainya sangat lengkap.,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: itu mengisi daya ponsel saya dengan sangat cepat dan hingga baterai penuh.
Kalimat Baru: ",itu tidak mengisi daya ponsel saya dengan baik dan sampai ke batas kapasitasnya.,itu mengisi daya ponsel saya dengan sangat lambat dan sampai ke nol persen.,itu tidak mengisi daya ponsel saya dengan baik,itu tidak mengisi daya ponsel saya dengan baik dan tidak mencapai baterai penuh.,3
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya punya banyak korek api dan yang ini mungkin yang terbaik.
Kalimat Baru: ",saya punya sedikit korek api dan yang ini mungkin yang terburuk. ,saya punya banyak korek api dan yang ini adalah favorit saya.,saya punya banyak korek api dan yang ini adalah favorit saya.,saya punya banyak korek api dan yang ini adalah favorit saya.,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Saya punya banyak korek api dan ini yang terbaik.
Kalimat Baru: ",Saya punya sedikit korek api dan ini yang terburuk. ,Saya punya banyak korek api dan saya tidak suka ini.,saya punya banyak korek api dan ini adalah yang terbaik.,saya menyukai banyak dari mereka,0
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya tidak suka wajan dadar pondok saya dan jarang menggunakannya.
Kalimat Baru: ",saya suka wajan dadar pondok saya dan menggunakannya sesekali.,saya suka wajan dadar pondok saya dan menggunakannya secara teratur.,aku suka wajan dadar pondokku dan sering menggunakannya.,saya suka wajan dadar pondok saya dan menggunakannya berkali-kali.,3
