prompt,expected_response,model,response
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Produk mereka jauh lebih mahal dibandingkan dengan petsmart!
Kalimat Baru: ",Produk mereka jauh lebih murah dibandingkan dengan petsmart!,fine-tuned,Produk mereka lebih murah daripada petsmart.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Produk mereka jauh lebih murah dibandingkan dengan petsmart!
Kalimat Baru: ",Produk mereka jauh lebih mahal dibandingkan dengan petsmart!,fine-tuned,Produk petsmart jauh lebih mahal daripada yang saya beli.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Berapa biaya yang akan anda kenakan saat saya membeli satu lusin roti bagel?
Kalimat Baru: ",Berapa biaya yang akan anda kenakan saat saya membeli satu lusin roti bagel yang enak?,fine-tuned,Berbagai biaya yang akan anda bayar saat membeli satu lusin roti bagel.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Berapa biaya yang akan anda kenakan saat saya membeli satu lusin roti bagel yang enak?
Kalimat Baru: ",Berapa biaya yang akan anda kenakan saat saya membeli satu lusin roti bagel?,fine-tuned,Berbagai biaya yang akan anda bayar saat membeli satu lusin roti bagel yang enak.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Makanannya tidak bagus dan harganya jauh lebih buruk.
Kalimat Baru: ",Ya makanannya enak dan harganya juga sangat baik.,fine-tuned,Makanannya bagus dan harganya bagus.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Ya makanannya enak dan harganya juga sangat baik.
Kalimat Baru: ",Makanannya tidak bagus dan harganya jauh lebih buruk.,fine-tuned,Ya makanannya tidak enak dan mahal.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya hanya memberikan item ini num_num bintang karena harganya yang tidak masuk akal.
Kalimat Baru: ",saya memberikan item ini bintang lima karena harganya yang luar biasa.,fine-tuned,saya hanya memberikan item ini satu bintang karena harganya yang tidak masuk akal.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: saya memberikan item ini bintang lima karena harganya yang luar biasa.
Kalimat Baru: ",saya hanya memberikan item ini num_num bintang karena harganya yang tidak masuk akal.,fine-tuned,saya memberikan item ini bintang lima karena harganya yang tidak masuk akal.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Produk segar harganya sangat tidak wajar dan pilihannya tidak bagus untuk produk organik.
Kalimat Baru: ",Produk segar harganya sangat wajar dan pilihannya sangat bagus untuk produk organik.,fine-tuned,Produk segar harganya wajar dan pilihannya banyak.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Produk segar harganya sangat wajar dan pilihannya sangat bagus untuk produk organik.
Kalimat Baru: ",Produk segar harganya sangat tidak wajar dan pilihannya tidak bagus untuk produk organik.,fine-tuned,Produk segar harganya sangat mahal dan pilihannya sangat buruk untuk produk organik.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Layanan pelanggan di sana buruk.
Kalimat Baru: ",Layanan pelanggan di sana bagus.,fine-tuned,Layanan pelanggan di sana sangat baik.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Layanan pelanggan di sana bagus.
Kalimat Baru: ",Layanan pelanggan di sana buruk.,fine-tuned,Layanan pelanggan di sana sangat buruk.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: margin keamanannya sangat buruk karena meluap
Kalimat Baru: ",jelas batas keamanan dari luapan jauh lebih kecil.,fine-tuned,margin keamanannya sangat baik karena tidak meluap.
