query,response
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Bukan tempat yang akan saya rekomendasikan.
Kalimat Baru: ",Tempat yang harus dinamai jika kamu ada di dekat Scottsdale Road.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Bukan tempat yang akan saya rekomendasikan.
Kalimat Baru: ",Maksud saya itu adalah tempat seperti itu.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Bukan tempat yang akan saya rekomendasikan.
Kalimat Baru: ",Tempat yang bagus untuk mencari perlengkapannya.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tentunya tempat yang perlu diingat.
Kalimat Baru: ",Tentu saja tempat yang sangat bagus untuk diingat.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tentunya tempat yang perlu diingat.
Kalimat Baru: ",Tempat yang buruk untuk mencari tas.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Tentunya tempat yang perlu diingat.
Kalimat Baru: ",Ini bukan tempat yang biasa saya kunjungi.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Bagaimanapun saya tidak akan merekomendasikan belanja dari camping world.
Kalimat Baru: ","Meskipun saya tidak akan merekomendasikan belanja di camping world, mereka memiliki beberapa penawaran yang bagus."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Bagaimanapun saya tidak akan merekomendasikan belanja dari camping world.
Kalimat Baru: ","Jika saya akan membeli dari camping world, saya akan membeli disini."
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Bagaimanapun saya tidak akan merekomendasikan belanja dari camping world.
Kalimat Baru: ",Saya tidak akan merekomendasikan belanja disini.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Bagaimanapun saya merekomendasikan belanja dari camping world.
Kalimat Baru: ",Sungguh luar biasa belanja disini.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Bagaimanapun saya merekomendasikan belanja dari camping world.
Kalimat Baru: ",Semuanya sangat buruk.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Bagaimanapun saya merekomendasikan belanja dari camping world.
Kalimat Baru: ",Sungguh tidak komit dengan camping world.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: California burrito adalah burrito yang buruk.
Kalimat Baru: ",California burrito adalah burrito yang luar biasa.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: California burrito adalah burrito yang buruk.
Kalimat Baru: ",California burrito adalah burrito yang paling enak.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: California burrito adalah burrito yang buruk.
Kalimat Baru: ",California burrito adalah burrito yang terbaik.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: California burrito juga burrito yang enak.
Kalimat Baru: ",California burrito juga burrito yang menjijikan.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: California burrito juga burrito yang enak.
Kalimat Baru: ",California burrito juga burrito yang buruk.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: California burrito juga burrito yang enak.
Kalimat Baru: ",California burrito adalah burrito yang terburuk yang pernah saya makan.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Prime rib berlemak dan tidak dimasak sesuai dengan permintaan.
Kalimat Baru: ",Saya memesan prime rib dan itu dimasak dengan sempurna!
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Prime rib berlemak dan tidak dimasak sesuai dengan permintaan.
Kalimat Baru: ",Prime ribnya dimasak dengan sempurna dan sangat berbumbu.
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Prime rib berlemak dan tidak dimasak sesuai dengan permintaan.
Kalimat Baru: ","Prime ribnya enak, dimasak dengan sempurna dan cepat!"
"Ubah sentimen dari kalimat awal berikut menjadi sentimen sebaliknya
Kalimat Awal: Prime rib tidak berlemak dan dimasak sesuai dengan pesanan.
Kalimat Baru: ",Prime ribnya berlemak dan kering.
